Dates,Average daily coal consumption,Operating rate of blast furnaces,All-steel wheel operating rate,Semi-steel wheel operating rate,Polyester filament operating rate,PTA operating rate,Average daily output of crude steel,Commercial housing transaction area of 30 cities(D),Commercial housing transaction area of 30 cities(W),Cement Price Index,Average Daily Sales of Passenger Car(Wholesale),Average Daily Sales of Passenger Car(Retail),Keqiao Textile Price Index,CCFI composite index,Edible Agricultural Products Price Index,Production price index,WTI spot price,Output: Rebar,Output:Wire Rod,Output:Hot Rolled Coil,Output: Cold Rolled Coil,Output: Plate
2002-01-11,,,,,,,,,,,,,,921.35,,,,,,,,
2002-01-18,,,,,,,,,,,,,,901.65,,,,,,,,
2002-01-25,,,,,,,,,,,,,,925.88,,,,,,,,
2002-02-01,,,,,,,,,,,,,,927.54,,,,,,,,
2002-02-08,,,,,,,,,,,,,,930.63,,,,,,,,
2002-02-15,,,,,,,,,,,,,,927.58,,,,,,,,
2002-02-22,,,,,,,,,,,,,,924.52,,,,,,,,
2002-03-01,,,,,,,,,,,,,,935.38,,,,,,,,
2002-03-08,,,,,,,,,,,,,,934.62,,,,,,,,
2002-03-15,,,,,,,,,,,,,,934.55,,,,,,,,
2002-03-22,,,,,,,,,,,,,,933.92,,,,,,,,
2002-03-29,,,,,,,,,,,,,,921.39,,,,,,,,
2002-04-05,,,,,,,,,,,,,,923.54,,,,,,,,
2002-04-12,,,,,,,,,,,,,,934.67,,,,,,,,
2002-04-19,,,,,,,,,,,,,,935.42,,,,,,,,
2002-04-26,,,,,,,,,,,,,,929.31,,,,,,,,
2002-05-03,,,,,,,,,,,,,,933.55,,,,,,,,
2002-05-10,,,,,,,,,,,,,,937.78,,,,,,,,
2002-05-17,,,,,,,,,,,,,,942.02,,,,,,,,
2002-05-24,,,,,,,,,,,,,,936.25,,,,,,,,
2002-05-31,,,,,,,,,,,,,,938.96,,,,,,,,
2002-06-07,,,,,,,,,,,,,,944.69,,,,,,,,
2002-06-14,,,,,,,,,,,,,,936.14,,,,,,,,
2002-06-21,,,,,,,,,,,,,,935.67,,,,,,,,
2002-06-28,,,,,,,,,,,,,,933.19,,,,,,,,
2002-07-05,,,,,,,,,,,,,,934.27,,,,,,,,
2002-07-12,,,,,,,,,,,,,,942.37,,,,,,,,
2002-07-19,,,,,,,,,,,,,,953.68,,,,,,,,
2002-07-26,,,,,,,,,,,,,,955.16,,,,,,,,
2002-08-02,,,,,,,,,,,,,,953.29,,,,,,,,
2002-08-09,,,,,,,,,,,,,,967.92,,,,,,,,
2002-08-16,,,,,,,,,,,,,,962.94,,,,,,,,
2002-08-23,,,,,,,,,,,,,,961.26,,,,,,,,
2002-08-30,,,,,,,,,,,,,,960.44,,,,,,,,
2002-09-06,,,,,,,,,,,,,,965.04,,,,,,,,
2002-09-13,,,,,,,,,,,,,,978.45,,,,,,,,
2002-09-20,,,,,,,,,,,,,,962.68,,,,,,,,
2002-09-27,,,,,,,,,,,,,,961.02,,,,,,,,
